Konzentration,t_B,winkel_deg,strecke_cm,velocity_mm_s,viscosity_Pa_s
1.0,1.37,45,7,51.0948905109489,0.00021770521628865444
2.5,4.845000000000001,45,7,14.447884416924662,0.0007699137028602416
4.0,10.344999999999999,60,1,0.9666505558240697,0.014093615935793459
5.0,29.275,75,1,0.3415883859948762,0.044483811067935745
