Konzentration,t_B,winkel_deg,strecke_cm,velocity_mm_s,viscosity_Pa_s,delta_t_s,delta_velocity_mm_s,delta_viscosity_Pa_s
1.0,1.37,45,7,51.0948905109489,0.0002177052162886,30.0,1118.866215568224,0.004767267509970536
2.5,4.845000000000001,45,7,14.447884416924662,0.0007699137028602,30.0,89.4605846249205,0.004767267509970536
4.0,10.345,60,1,0.9666505558240696,0.0140936159357934,30.0,2.8032398912249477,0.040870805033717136
5.0,29.275,75,1,0.3415883859948762,0.0444838110679357,30.0,0.35004787633975365,0.04558545967679157
