time_min,t_B,winkel_deg,strecke_cm,velocity_mm_s,viscosity_Pa_s
5,4.975,30,7.0,14.07035175879397,0.0005590187246850533
10,27.69,30,1.0,0.3611412062116287,0.021779818976020885
15,31.990000000000002,45,1.0,0.31259768677711786,0.035584473783590066
20,23.134999999999998,45,1.0,0.43224551545277723,0.025734504563405945
30,30.66,60,1.6,0.5218525766470972,0.026106226715286823
40,40.425,75,1.0,0.24737167594310452,0.06142640691447661
50,25.49,75,1.0,0.39231071008238527,0.03873244557204722
60,29.275,75,1.0,0.3415883859948762,0.044483811067935745
70,46.0,75,1.0,0.21739130434782608,0.06989770483774706
